,CD137pos_CD154neg_memory_TH | Count,CD137pos_CD154neg_memory_TFH | Count,CD137pos_CD154neg_naive_TH | Count,CD137pos_CD154neg_naive_TFH | Count,CD137pos_CD154neg_CD127neg_CD25neg_memory_TH | Count,CD137pos_CD154neg_CD127pos_CD25neg_memory_TH | Count,CD137pos_CD154neg_CD127neg_CD25neg_naive_TH | Count,CD137pos_CD154neg_CD127pos_CD25neg_naive_TH | Count,CD137pos_CD154neg_CD45RAneg_Treg | Count,CD137pos_CD154neg_CD45RAneg_TFR | Count,CD137pos_CD154neg_CD45RApos_Treg | Count,CD137pos_CD154neg_CD45RApos_TFR | Count,
Compensation Controls_CD3 Alexa Fluor 430 Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CD4 PerCP-Cy5-5 Stained Control.fcs,,,,,,,,,,,,,
"Compensation Controls_CD8,2f,Viability APC-Cy7 Stained Control.fcs",,,,,,,,,,,,,
Compensation Controls_CD25 Pacific Blue Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CD45RA FITC Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CD127 BV786 Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CD137 PE Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CD154 APC Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CXCR5 PE-Cy7 Stained Control.fcs,,,,,,,,,,,,,
H33_HBsAg_Time_Point_0_CD4 T cells.fcs,16.0,5.00,55.0,5.00,6.00,10.0,21.0,34.0,141,20.0,4.00,6.00,
H34_HBsAg_Time_Point_0_CD4 T cells.fcs,34.0,0,72.0,1.00,8.00,26.0,15.0,57.0,137,4.00,72.0,3.00,
H35_HBsAg_Time_Point_0_CD4 T cells.fcs,24.0,3.00,26.0,1.00,11.0,13.0,1.00,25.0,163,3.00,11.0,0,
H36_HBsAg_Time_Point_0_CD4 T cells.fcs,25.0,2.00,66.0,2.00,15.0,10.0,11.0,55.0,120,1.00,17.0,2.00,
H38_HBsAg_Time_Point_0_CD4 T cells.fcs,35.0,8.00,35.0,6.00,4.00,31.0,7.00,28.0,158,8.00,19.0,4.00,
H39_HBsAg_Time_Point_0_CD4 T cells.fcs,52.0,2.00,27.0,0,4.00,48.0,4.00,23.0,113,3.00,12.0,3.00,
H40_HBsAg_Time_Point_0_CD4 T cells.fcs,35.0,5.00,45.0,2.00,7.00,28.0,10.0,35.0,124,2.00,22.0,4.00,
H41_HBsAg_Time_Point_0_CD4 T cells.fcs,16.0,1.00,37.0,5.00,4.00,12.0,8.00,29.0,104,2.00,18.0,0,
H42_HBsAg_Time_Point_0_CD4 T cells.fcs,19.0,6.00,50.0,10.0,8.00,11.0,12.0,38.0,67.0,6.00,15.0,4.00,
H02_NC_Time_Point_60_CD4 T cells.fcs,22.0,0,15.0,1.00,10.0,12.0,3.00,12.0,106,0,8.00,0,
H03_NC_Time_Point_60_CD4 T cells.fcs,16.0,2.00,10.0,1.00,10.0,6.00,2.00,8.00,181,3.00,12.0,0,
H04_NC_Time_Point_60_CD4 T cells.fcs,15.0,5.00,5.00,0,5.00,10.0,4.00,1.00,130,4.00,3.00,2.00,
H06_NC_Time_Point_60_CD4 T cells.fcs,22.0,2.00,12.0,0,8.00,14.0,4.00,8.00,103,7.00,2.00,1.00,
H07_NC_Time_Point_60_CD4 T cells.fcs,51.0,5.00,7.00,2.00,5.00,46.0,1.00,6.00,71.0,1.00,6.00,0,
H08_NC_Time_Point_60_CD4 T cells.fcs,2.00,1.00,2.00,0,0,2.00,0,2.00,23.0,0,4.00,0,
H10_NC_Time_Point_60_CD4 T cells.fcs,5.00,2.00,24.0,1.00,0,5.00,9.00,15.0,38.0,0,5.00,0,
H11_NC_Time_Point_60_CD4 T cells.fcs,30.0,4.00,31.0,3.00,17.0,13.0,16.0,15.0,126,1.00,3.00,2.00,
H13_NC_Time_Point_60_CD4 T cells.fcs,4.00,3.00,24.0,5.00,0,4.00,5.00,19.0,56.0,3.00,11.0,2.00,
H14_NC_Time_Point_60_CD4 T cells.fcs,11.0,0,42.0,1.00,6.00,5.00,16.0,26.0,117,2.00,10.0,1.00,
H17_NC_Time_Point_60_CD4 T cells.fcs,23.0,0,31.0,0,3.00,20.0,4.00,27.0,37.0,0,15.0,3.00,
H18_NC_Time_Point_60_CD4 T cells.fcs,15.0,2.00,9.00,1.00,7.00,8.00,2.00,7.00,27.0,1.00,6.00,1.00,
H19_NC_Time_Point_60_CD4 T cells.fcs,35.0,6.00,12.0,0,9.00,26.0,2.00,10.0,105,3.00,5.00,4.00,
H20_NC_Time_Point_60_CD4 T cells.fcs,4.00,0,14.0,3.00,1.00,3.00,3.00,11.0,17.0,1.00,3.00,1.00,
H21_NC_Time_Point_60_CD4 T cells.fcs,115,4.00,24.0,1.00,19.0,96.0,4.00,20.0,80.0,0,2.00,0,
H22_NC_Time_Point_60_CD4 T cells.fcs,11.0,0,5.00,1.00,6.00,5.00,1.00,4.00,38.0,0,0,0,
H23_NC_Time_Point_60_CD4 T cells.fcs,83.0,8.00,27.0,1.00,25.0,58.0,3.00,24.0,260,8.00,13.0,5.00,
