,CD4,CD45RApos | Count,CD45RAneg | Count,CXCR5pos | Count,CXCR5neg | Count,CD127neg_CD25neg | Count,CD127neg_CD25pos | Count,CD127pos_CD25neg | Count,CD137neg_CD154pos | Count,CD137pos_CD154pos | Count,CD137pos_CD154neg | Count,CD127neg_pos_CD25neg | Count,CD45RAneg_CD127neg_pos_CD25neg | Count,CD45RApos_CD127neg_pos_CD25neg | Count,CD45RAneg_CD127neg_CD25pos | Count,CD45RApos_CD127neg_CD25pos | Count,
Compensation Controls_CD3 Alexa Fluor 430 Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CD4 PerCP-Cy5-5 Stained Control.fcs,50000,,,,,,,,,,,,,,,,
"Compensation Controls_CD8,2f,Viability APC-Cy7 Stained Control.fcs",50000,,,,,,,,,,,,,,,,
Compensation Controls_CD25 Pacific Blue Stained Control.fcs,49500,,,,,,,,,,,,,,,,
Compensation Controls_CD45RA FITC Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CD127 BV786 Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CD137 PE Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CD154 APC Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CXCR5 PE-Cy7 Stained Control.fcs,50000,,,,,,,,,,,,,,,,
H31_PC_Time_Point_0_CD4 T cells.fcs,183474,108961,74513,12762,170712,78057,18353,84494,132970,1518,1296,162551,61393,101158,11329,7024,
H36_PC_Time_Point_0_CD4 T cells.fcs,340689,256327,84362,19109,321580,143569,47264,139907,290199,7511,4326,283476,58667,224809,20422,26842,
H02_HBsAg_Time_Point_0_CD4 T cells.fcs,6.76E5,4.39E5,236762,86131,5.90E5,179892,47925,4.45E5,410,52.0,488,6.22E5,213861,4.08E5,19465,28460,
H03_HBsAg_Time_Point_0_CD4 T cells.fcs,5.11E5,303500,207015,44728,4.66E5,136703,40631,329341,287,15.0,382,4.66E5,182334,283710,22403,18228,
H04_HBsAg_Time_Point_0_CD4 T cells.fcs,4.08E5,118559,289382,64794,343147,89595,27218,288083,288,21.0,336,377678,265796,111882,21137,6081,
H06_HBsAg_Time_Point_0_CD4 T cells.fcs,4.80E5,203698,276625,75241,4.05E5,96229,25186,354770,227,10.0,197,4.51E5,256819,194180,16858,8328,
H07_HBsAg_Time_Point_0_CD4 T cells.fcs,391874,219635,172239,42827,349047,96319,20733,272913,144,24.0,216,369232,161105,208127,10002,10731,
H08_HBsAg_Time_Point_0_CD4 T cells.fcs,4.45E5,253314,191978,27233,4.18E5,91203,31713,318587,391,13.0,422,4.10E5,168746,241044,20427,11286,
H10_HBsAg_Time_Point_0_CD4 T cells.fcs,6.11E5,4.74E5,137096,25437,5.86E5,134403,23846,4.51E5,279,38.0,423,5.85E5,124411,4.61E5,11682,12164,
H11_HBsAg_Time_Point_0_CD4 T cells.fcs,5.63E5,291723,271433,32282,5.31E5,142782,40198,377073,301,16.0,243,5.20E5,242482,277373,26799,13399,
