,CD4,Treg,CD45RAneg_Treg,CD45RApos_Treg,CD137neg_CD45RAneg_Treg,CD137pos_CD45RAneg_Treg,CD137neg_CD45RApos_Treg,CD137pos_CD45RApos_Treg,CD137neg_CD45RAneg_Treg_CD137_MFI,CD137pos_CD45RAneg_Treg_CD137_MFI,CD137neg_CD45RAneg_Treg_CD25_MFI,CD137pos_CD45RAneg_Treg_CD25_MFI,CD137neg_CD45RAneg_Treg_CD127_MFI,CD137pos_CD45RAneg_Treg_CD127_MFI,CD137neg_CD45RAneg_Treg_CD154_MFI,CD137pos_CD45RAneg_Treg_CD154_MFI,
Compensation Controls_CD3 Alexa Fluor 430 Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CD4 PerCP-Cy5-5 Stained Control.fcs,50000,,,,,,,,,,,,,,,,
"Compensation Controls_CD8,2f,Viability APC-Cy7 Stained Control.fcs",50000,,,,,,,,,,,,,,,,
Compensation Controls_CD25 Pacific Blue Stained Control.fcs,49500,,,,,,,,,,,,,,,,
Compensation Controls_CD45RA FITC Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CD127 BV786 Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CD137 PE Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CD154 APC Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CXCR5 PE-Cy7 Stained Control.fcs,50000,,,,,,,,,,,,,,,,
H29_NC_Time_Point_0_CD4 T cells.fcs,276182,19413,13805,5608,9573,4060,5200,389,492,4835,4186,8039,928,1152,75.2,46.9,
H29_HBsAg_Time_Point_0_CD4 T cells.fcs,4.04E5,27150,18769,8324,12518,6015,7148,1139,504,4896,4218,7809,950,1191,75.2,64.4,
H30_NC_Time_Point_0_CD4 T cells.fcs,4.95E5,19630,14648,4982,9482,5019,4774,199,337,5975,3189,6265,1481,1891,211,276,
H30_HBsAg_Time_Point_0_CD4 T cells.fcs,4.09E5,15471,11522,3949,7490,3909,3759,175,320,5781,3081,5994,1383,1757,214,274,
H31_NC_Time_Point_0_CD4 T cells.fcs,325946,15341,9161,6180,6986,2090,6046,125,305,5204,3795,7892,1413,1956,166,186,
H31_PC_Time_Point_0_CD4 T cells.fcs,183474,17030,10514,6516,4562,5853,,,553,9020,2963,3891,1578,1808,8605,8750,
H31_HBsAg_Time_Point_0_CD4 T cells.fcs,308720,13418,7836,5582,6007,1757,5256,313,282,5222,3824,8146,1471,2039,175,167,
H32_NC_Time_Point_0_CD4 T cells.fcs,288379,9587,7904,1683,6062,1763,1639,41.0,340,5020,3674,7084,1698,2058,204,228,
H32_HBsAg_Time_Point_0_CD4 T cells.fcs,323159,10591,8588,2003,6027,2489,1744,251,331,5534,3592,6758,1670,2027,209,259,
H33_NC_Time_Point_0_CD4 T cells.fcs,4.98E5,32361,22186,10175,17597,4405,9937,222,271,4922,3872,7913,1578,1846,186,207,
H33_HBsAg_Time_Point_0_CD4 T cells.fcs,5.89E5,37582,26012,11570,20048,5742,11183,373,288,5111,3824,7486,1592,1861,192,222,
H34_NC_Time_Point_0_CD4 T cells.fcs,257393,14941,5738,9203,3461,2204,8091,1070,481,5434,3610,6740,1753,2272,188,229,
H34_HBsAg_Time_Point_0_CD4 T cells.fcs,5.02E5,28545,10874,17671,6202,4546,15039,2547,501,5770,3767,6829,1797,2294,202,243,
H35_NC_Time_Point_0_CD4 T cells.fcs,5.80E5,27805,19167,8638,13968,4996,8350,269,342,4861,3853,6937,1805,2107,199,222,
H35_HBsAg_Time_Point_0_CD4 T cells.fcs,7.92E5,39107,26706,12401,20034,6398,11776,600,345,4741,3619,6793,1606,1891,199,211,
H36_NC_Time_Point_0_CD4 T cells.fcs,5.99E5,35511,13864,21647,10719,3007,21365,268,334,4479,4197,7809,1702,1972,202,199,
H36_PC_Time_Point_0_CD4 T cells.fcs,340689,43321,18178,25143,6797,11225,,,624,8915,3135,4113,1868,2039,16403,9704,
H36_HBsAg_Time_Point_0_CD4 T cells.fcs,6.26E5,36364,14355,22009,11108,3091,21634,354,348,4393,4103,7626,1702,1960,215,211,
H38_NC_Time_Point_0_CD4 T cells.fcs,4.83E5,15762,10210,5552,7596,2502,5371,168,383,4716,3720,7369,1567,1846,200,182,
H38_HBsAg_Time_Point_0_CD4 T cells.fcs,4.72E5,14472,9139,5333,6463,2585,5047,273,357,5157,3610,7254,1550,1797,199,210,
H39_NC_Time_Point_0_CD4 T cells.fcs,4.17E5,16354,9101,7253,6497,2508,7057,188,406,5157,3229,5404,1602,2046,189,259,
H39_HBsAg_Time_Point_0_CD4 T cells.fcs,4.80E5,19014,10303,8711,7268,2929,8368,327,394,5102,3401,5705,1663,2143,191,257,
H40_NC_Time_Point_0_CD4 T cells.fcs,5.37E5,17874,9529,8345,7524,1894,8163,165,299,5011,2905,6232,1529,2062,232,239,
H40_HBsAg_Time_Point_0_CD4 T cells.fcs,4.59E5,14695,7735,6960,5995,1666,6630,314,299,5111,2774,6009,1457,1849,257,266,
H41_NC_Time_Point_0_CD4 T cells.fcs,335894,22629,13190,9439,10852,2239,9248,182,268,4775,3882,8018,1550,1864,180,167,
H41_HBsAg_Time_Point_0_CD4 T cells.fcs,337148,22926,12692,10234,10383,2225,9501,707,308,4809,4001,8146,1526,1797,171,165,
H42_NC_Time_Point_0_CD4 T cells.fcs,345611,16503,10501,6002,8872,1555,5857,136,302,4432,2747,5503,1440,1838,197,249,
H42_HBsAg_Time_Point_0_CD4 T cells.fcs,307512,14244,8867,5377,7467,1340,5123,247,302,4633,3127,6248,1659,2078,192,228,
H02_NC_Time_Point_60_CD4 T cells.fcs,5.54E5,43674,17059,26615,12402,4489,25553,979,455,5148,3426,5720,1420,1581,192,222,
H02_HBsAg_Time_Point_60_CD4 T cells.fcs,5.32E5,38896,14470,24426,10175,4145,23125,1231,478,5232,3461,5691,1407,1550,188,225,
H03_NC_Time_Point_60_CD4 T cells.fcs,359098,28967,17477,11490,11122,6152,10959,499,449,5444,3478,6232,1606,1834,200,240,
H03_HBsAg_Time_Point_60_CD4 T cells.fcs,356205,27723,16531,11192,9961,6404,10242,915,510,5739,3376,5916,1546,1757,204,252,
H04_NC_Time_Point_60_CD4 T cells.fcs,4.67E5,28161,23249,4912,17877,5144,4756,143,388,4674,4229,7292,1229,1502,169,200,
H04_HBsAg_Time_Point_60_CD4 T cells.fcs,4.95E5,28651,23428,5223,17404,5799,4878,336,391,4809,4165,7140,1236,1508,166,207,
H06_NC_Time_Point_60_CD4 T cells.fcs,242324,16887,11697,5190,8035,3552,5015,168,432,5047,3757,6883,1595,1812,193,218,
H06_HBsAg_Time_Point_60_CD4 T cells.fcs,306461,18401,12499,5902,8264,4072,5424,463,458,5666,3795,6883,1623,1819,200,229,
H07_NC_Time_Point_60_CD4 T cells.fcs,379608,20178,12382,7796,8929,3340,7611,175,365,5308,3469,6025,1585,1857,200,253,
H07_HBsAg_Time_Point_60_CD4 T cells.fcs,5.64E5,28323,17319,11004,12210,4924,10526,452,357,5434,3565,6232,1663,1925,196,247,
H08_NC_Time_Point_60_CD4 T cells.fcs,231031,14939,8509,6430,7117,1302,6321,102,455,4065,4681,8939,1599,1760,188,145,
H08_HBsAg_Time_Point_60_CD4 T cells.fcs,343567,21610,12717,8893,10132,2473,8503,377,463,4385,4563,8387,1550,1738,181,155,
H10_NC_Time_Point_60_CD4 T cells.fcs,5.62E5,28364,14298,14066,11096,3050,13838,215,365,4487,4294,8432,1606,1823,178,174,
H10_HBsAg_Time_Point_60_CD4 T cells.fcs,6.46E5,30996,15962,15034,11105,4705,14571,443,357,5444,4051,8387,1467,1602,178,192,
H11_NC_Time_Point_60_CD4 T cells.fcs,4.39E5,32029,21685,10344,15168,6268,10015,301,397,5175,3683,7350,1529,1857,178,204,
H11_HBsAg_Time_Point_60_CD4 T cells.fcs,5.49E5,38728,25402,13326,16936,8244,12487,799,414,5554,3601,7197,1484,1731,175,207,
H13_NC_Time_Point_60_CD4 T cells.fcs,6.33E5,34114,16708,17406,13396,3130,17090,299,394,4324,3824,6532,1698,1910,174,199,
H13_HBsAg_Time_Point_60_CD4 T cells.fcs,7.33E5,38064,18816,19248,13499,5106,18069,1126,440,5148,3592,6232,1560,1782,171,224,
H14_NC_Time_Point_60_CD4 T cells.fcs,347533,18535,10201,8334,6018,4059,7944,365,492,5444,6168,11130,1906,2247,160,156,
H14_HBsAg_Time_Point_60_CD4 T cells.fcs,339047,17992,9649,8343,5529,3995,7103,1202,484,5564,5840,10215,1797,2156,150,167,
H17_NC_Time_Point_60_CD4 T cells.fcs,5.44E5,37686,13421,24265,11373,1931,23697,533,299,4641,3882,7369,1738,1980,193,197,
H17_HBsAg_Time_Point_60_CD4 T cells.fcs,5.94E5,40768,14079,26689,10920,3035,25248,1382,351,5395,3786,6937,1652,1842,178,227,
H18_NC_Time_Point_60_CD4 T cells.fcs,323555,16095,10095,6000,8058,1952,5868,123,322,4940,4359,7934,1585,1782,155,159,
H18_HBsAg_Time_Point_60_CD4 T cells.fcs,381327,17698,10523,7175,7633,2803,6718,431,374,5749,4348,7546,1505,1613,160,189,
H19_NC_Time_Point_60_CD4 T cells.fcs,4.12E5,35504,21452,14052,15594,5620,13588,429,411,4948,4305,7768,1742,1838,188,177,
H19_HBsAg_Time_Point_60_CD4 T cells.fcs,5.82E5,47320,28914,18406,19943,8637,17232,1130,429,5317,4186,7311,1623,1735,184,192,
H20_NC_Time_Point_60_CD4 T cells.fcs,4.34E5,22026,10559,11467,8737,1720,11268,183,328,4377,4348,9403,1790,1842,158,110,
H20_HBsAg_Time_Point_60_CD4 T cells.fcs,5.17E5,24425,11739,12686,8929,2717,12303,363,342,5213,4449,9761,1670,1738,154,135,
H21_NC_Time_Point_60_CD4 T cells.fcs,4.11E5,15966,8946,7020,5961,2893,6741,265,429,5337,3739,5589,1688,1793,225,278,
H21_HBsAg_Time_Point_60_CD4 T cells.fcs,5.26E5,18840,10423,8417,6682,3635,8002,390,449,5375,3729,5560,1602,1790,211,274,
H22_NC_Time_Point_60_CD4 T cells.fcs,163134,5381,2070,3311,1395,593,3194,93.0,478,5942,1623,3539,208,440,34.9,108,
H22_HBsAg_Time_Point_60_CD4 T cells.fcs,4.59E5,13743,5496,8247,3558,1757,7747,427,449,6765,1700,3921,191,452,33.5,120,
H23_NC_Time_Point_60_CD4 T cells.fcs,7.38E5,43452,21347,22105,14970,6150,21654,423,365,5424,4305,7216,1680,1819,145,188,
H23_PC_Time_Point_60_CD4 T cells.fcs,250869,25167,9326,15841,3655,5597,,,709,9074,2815,3565,1461,1367,12884,2264,
H23_HBsAg_Time_Point_60_CD4 T cells.fcs,7.35E5,42717,20218,22499,12844,7168,21363,1075,423,6097,4197,7084,1550,1659,152,220,
H24_NC_Time_Point_60_CD4 T cells.fcs,394953,13895,8711,5184,6645,1971,5074,106,345,4818,4197,7626,2115,2488,178,185,
H24_HBsAg_Time_Point_60_CD4 T cells.fcs,4.65E5,16613,10311,6302,7518,2675,5826,459,354,4896,4041,7197,2003,2315,193,215,
H25_NC_Time_Point_60_CD4 T cells.fcs,4.17E5,26700,10247,16453,8567,1581,15905,491,308,4616,2537,5321,1574,1918,221,229,
H25_HBsAg_Time_Point_60_CD4 T cells.fcs,364136,22147,8324,13823,6760,1457,12667,1085,345,4783,2630,5173,1595,1868,221,242,
H26_NC_Time_Point_60_CD4 T cells.fcs,5.33E5,28545,21469,7076,13942,7308,6747,306,417,5909,4176,8039,1595,1980,188,238,
