,CD137neg_CD154pos_memory_TH | Count,CD137neg_CD154pos_memory_TFH | Count,CD137neg_CD154pos_naive_TH | Count,CD137neg_CD154pos_naive_TFH | Count,CD137neg_CD154pos_CD127neg_CD25neg_memory_TH | Count,CD137neg_CD154pos_CD127pos_CD25neg_memory_TH | Count,CD137neg_CD154pos_CD127neg_CD25neg_naive_TH | Count,CD137neg_CD154pos_CD127pos_CD25neg_naive_TH | Count,CD137neg_CD154pos_CD45RAneg_Treg | Count,CD137neg_CD154pos_CD45RAneg_TFR | Count,CD137neg_CD154pos_CD45RApos_Treg | Count,CD137neg_CD154pos_CD45RApos_TFR | Count,
Compensation Controls_CD3 Alexa Fluor 430 Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CD4 PerCP-Cy5-5 Stained Control.fcs,,,,,,,,,,,,,
"Compensation Controls_CD8,2f,Viability APC-Cy7 Stained Control.fcs",,,,,,,,,,,,,
Compensation Controls_CD25 Pacific Blue Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CD45RA FITC Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CD127 BV786 Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CD137 PE Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CD154 APC Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CXCR5 PE-Cy7 Stained Control.fcs,,,,,,,,,,,,,
H13_HBsAg_Time_Point_0_CD4 T cells.fcs,109,41.0,105,16.0,6.00,103,8.00,97.0,20.0,13.0,5.00,1.00,
H14_HBsAg_Time_Point_0_CD4 T cells.fcs,41.0,17.0,130,4.00,4.00,37.0,34.0,96.0,12.0,1.00,35.0,2.00,
H17_HBsAg_Time_Point_0_CD4 T cells.fcs,61.0,13.0,98.0,6.00,3.00,58.0,18.0,80.0,7.00,0,1.00,0,
H18_HBsAg_Time_Point_0_CD4 T cells.fcs,32.0,14.0,94.0,6.00,2.00,30.0,15.0,79.0,1.00,2.00,11.0,0,
H19_HBsAg_Time_Point_0_CD4 T cells.fcs,82.0,15.0,54.0,3.00,4.00,78.0,12.0,42.0,21.0,4.00,10.0,0,
H20_HBsAg_Time_Point_0_CD4 T cells.fcs,93.0,22.0,129,7.00,5.00,88.0,15.0,114,14.0,4.00,6.00,2.00,
H21_HBsAg_Time_Point_0_CD4 T cells.fcs,107,20.0,153,4.00,4.00,103,26.0,127,19.0,5.00,6.00,2.00,
H22_HBsAg_Time_Point_0_CD4 T cells.fcs,28.0,8.00,153,3.00,4.00,24.0,19.0,135,24.0,2.00,30.0,3.00,
H23_HBsAg_Time_Point_0_CD4 T cells.fcs,78.0,29.0,56.0,3.00,4.00,74.0,11.0,45.0,28.0,8.00,4.00,0,
H24_HBsAg_Time_Point_0_CD4 T cells.fcs,46.0,24.0,66.0,3.00,2.00,44.0,10.0,56.0,7.00,0,4.00,0,
H25_HBsAg_Time_Point_0_CD4 T cells.fcs,83.0,12.0,114,2.00,6.00,77.0,38.0,76.0,10.0,8.00,15.0,0,
H26_HBsAg_Time_Point_0_CD4 T cells.fcs,53.0,17.0,18.0,0,3.00,50.0,2.00,16.0,22.0,7.00,2.00,1.00,
H28_HBsAg_Time_Point_0_CD4 T cells.fcs,20.0,8.00,39.0,3.00,0,20.0,4.00,35.0,16.0,4.00,4.00,2.00,
H29_HBsAg_Time_Point_0_CD4 T cells.fcs,93.0,34.0,120,9.00,7.00,86.0,30.0,90.0,3.00,5.00,6.00,1.00,
H30_HBsAg_Time_Point_0_CD4 T cells.fcs,80.0,27.0,59.0,7.00,3.00,77.0,6.00,53.0,4.00,0,3.00,1.00,
H31_HBsAg_Time_Point_0_CD4 T cells.fcs,39.0,8.00,80.0,3.00,3.00,36.0,5.00,75.0,5.00,1.00,6.00,1.00,
H32_HBsAg_Time_Point_0_CD4 T cells.fcs,146,47.0,14.0,3.00,8.00,138,1.00,13.0,15.0,3.00,0,1.00,
H33_HBsAg_Time_Point_0_CD4 T cells.fcs,94.0,35.0,72.0,6.00,7.00,87.0,12.0,60.0,41.0,17.0,5.00,1.00,
H34_HBsAg_Time_Point_0_CD4 T cells.fcs,44.0,2.00,143,15.0,2.00,42.0,25.0,118,10.0,0,25.0,5.00,
H35_HBsAg_Time_Point_0_CD4 T cells.fcs,34.0,14.0,193,3.00,7.00,27.0,55.0,138,16.0,7.00,17.0,1.00,
H36_HBsAg_Time_Point_0_CD4 T cells.fcs,32.0,6.00,207,11.0,4.00,28.0,55.0,152,12.0,5.00,13.0,1.00,
H38_HBsAg_Time_Point_0_CD4 T cells.fcs,96.0,21.0,69.0,4.00,5.00,91.0,14.0,55.0,23.0,6.00,9.00,2.00,
H39_HBsAg_Time_Point_0_CD4 T cells.fcs,29.0,2.00,176,7.00,7.00,22.0,36.0,140,6.00,1.00,11.0,0,
H40_HBsAg_Time_Point_0_CD4 T cells.fcs,96.0,17.0,94.0,2.00,1.00,95.0,13.0,81.0,31.0,3.00,13.0,2.00,
H41_HBsAg_Time_Point_0_CD4 T cells.fcs,19.0,3.00,110,1.00,1.00,18.0,31.0,79.0,8.00,0,25.0,1.00,
H42_HBsAg_Time_Point_0_CD4 T cells.fcs,66.0,12.0,38.0,4.00,9.00,57.0,7.00,31.0,37.0,8.00,2.00,1.00,
H02_NC_Time_Point_60_CD4 T cells.fcs,28.0,7.00,80.0,4.00,8.00,20.0,20.0,60.0,13.0,1.00,1.00,1.00,
H03_NC_Time_Point_60_CD4 T cells.fcs,15.0,3.00,51.0,3.00,2.00,13.0,16.0,35.0,1.00,0,2.00,0,
H04_NC_Time_Point_60_CD4 T cells.fcs,58.0,29.0,43.0,6.00,5.00,53.0,8.00,35.0,11.0,2.00,0,1.00,
H06_NC_Time_Point_60_CD4 T cells.fcs,13.0,5.00,12.0,3.00,0,13.0,1.00,11.0,8.00,1.00,1.00,0,
H07_NC_Time_Point_60_CD4 T cells.fcs,14.0,7.00,22.0,1.00,2.00,12.0,3.00,19.0,4.00,0,2.00,0,
H08_NC_Time_Point_60_CD4 T cells.fcs,5.00,1.00,14.0,0,1.00,4.00,2.00,12.0,6.00,0,0,0,
H10_NC_Time_Point_60_CD4 T cells.fcs,18.0,2.00,32.0,1.00,3.00,15.0,5.00,27.0,3.00,0,1.00,0,
H11_NC_Time_Point_60_CD4 T cells.fcs,12.0,8.00,33.0,2.00,1.00,11.0,7.00,26.0,9.00,1.00,3.00,0,
H13_NC_Time_Point_60_CD4 T cells.fcs,21.0,9.00,22.0,5.00,1.00,20.0,0,22.0,7.00,0,4.00,1.00,
H14_NC_Time_Point_60_CD4 T cells.fcs,3.00,0,28.0,0,0,3.00,3.00,25.0,0,0,1.00,0,
H17_NC_Time_Point_60_CD4 T cells.fcs,24.0,12.0,91.0,2.00,2.00,22.0,5.00,86.0,8.00,1.00,4.00,0,
H18_NC_Time_Point_60_CD4 T cells.fcs,3.00,1.00,13.0,0,1.00,2.00,1.00,12.0,0,0,0,0,
H19_NC_Time_Point_60_CD4 T cells.fcs,17.0,4.00,16.0,1.00,1.00,16.0,1.00,15.0,2.00,0,2.00,0,
H20_NC_Time_Point_60_CD4 T cells.fcs,3.00,0,22.0,0,0,3.00,4.00,18.0,2.00,0,1.00,0,
H21_NC_Time_Point_60_CD4 T cells.fcs,10.0,2.00,23.0,1.00,0,10.0,3.00,20.0,0,0,1.00,0,
H22_NC_Time_Point_60_CD4 T cells.fcs,0,1.00,7.00,0,0,0,1.00,6.00,0,0,0,0,
H23_NC_Time_Point_60_CD4 T cells.fcs,25.0,8.00,30.0,3.00,0,25.0,5.00,25.0,8.00,3.00,4.00,1.00,
H24_NC_Time_Point_60_CD4 T cells.fcs,13.0,3.00,5.00,2.00,0,13.0,1.00,4.00,1.00,0,2.00,1.00,
H25_NC_Time_Point_60_CD4 T cells.fcs,3.00,0,20.0,1.00,0,3.00,7.00,13.0,4.00,0,0,0,
H26_NC_Time_Point_60_CD4 T cells.fcs,187,29.0,29.0,2.00,5.00,182,4.00,25.0,91.0,10.0,4.00,2.00,
H28_NC_Time_Point_60_CD4 T cells.fcs,11.0,4.00,19.0,1.00,0,11.0,4.00,15.0,1.00,1.00,1.00,0,
H29_NC_Time_Point_60_CD4 T cells.fcs,5.00,5.00,4.00,0,1.00,4.00,0,4.00,2.00,0,0,0,
H30_NC_Time_Point_60_CD4 T cells.fcs,13.0,3.00,23.0,1.00,4.00,9.00,2.00,21.0,3.00,0,0,0,
H31_NC_Time_Point_60_CD4 T cells.fcs,13.0,4.00,29.0,2.00,3.00,10.0,5.00,24.0,5.00,1.00,0,0,
H32_NC_Time_Point_60_CD4 T cells.fcs,103,41.0,8.00,4.00,3.00,100,0,8.00,25.0,7.00,0,1.00,
H33_NC_Time_Point_60_CD4 T cells.fcs,62.0,28.0,58.0,5.00,6.00,56.0,6.00,52.0,21.0,8.00,3.00,3.00,
H34_NC_Time_Point_60_CD4 T cells.fcs,26.0,5.00,43.0,3.00,4.00,22.0,6.00,37.0,11.0,4.00,5.00,7.00,
H35_NC_Time_Point_60_CD4 T cells.fcs,14.0,2.00,45.0,1.00,3.00,11.0,9.00,36.0,12.0,1.00,6.00,0,
H36_NC_Time_Point_60_CD4 T cells.fcs,5.00,4.00,14.0,1.00,1.00,4.00,7.00,7.00,2.00,0,0,0,
H38_NC_Time_Point_60_CD4 T cells.fcs,13.0,5.00,16.0,2.00,2.00,11.0,4.00,12.0,13.0,2.00,0,0,
