,CD4 | Median (Comp-BV786-A),TH | Median (Comp-BV786-A),naive_TH | Median (Comp-BV786-A),memory_TH | Median (Comp-BV786-A),TFH | Median (Comp-BV786-A),naive_TFH | Median (Comp-BV786-A),memory_TFH | Median (Comp-BV786-A),Treg | Median (Comp-BV786-A),CD45RApos_Treg | Median (Comp-BV786-A),CD45RAneg_Treg | Median (Comp-BV786-A),TFR | Median (Comp-BV786-A),CD45RApos_TFR | Median (Comp-BV786-A),CD45RAneg_TFR | Median (Comp-BV786-A)
Compensation Controls_CD3 Alexa Fluor 430 Stained Control.fcs,n/a,,,,,,,,,,,,
Compensation Controls_CD4 PerCP-Cy5-5 Stained Control.fcs,n/a,,,,,,,,,,,,
"Compensation Controls_CD8,2f,Viability APC-Cy7 Stained Control.fcs",n/a,,,,,,,,,,,,
Compensation Controls_CD25 Pacific Blue Stained Control.fcs,n/a,,,,,,,,,,,,
Compensation Controls_CD45RA FITC Stained Control.fcs,n/a,,,,,,,,,,,,
Compensation Controls_CD127 BV786 Stained Control.fcs,n/a,,,,,,,,,,,,
Compensation Controls_CD137 PE Stained Control.fcs,n/a,,,,,,,,,,,,
Compensation Controls_CD154 APC Stained Control.fcs,n/a,,,,,,,,,,,,
Compensation Controls_CXCR5 PE-Cy7 Stained Control.fcs,n/a,,,,,,,,,,,,
H40_NC_Time_Point_0_CD4 T cells.fcs,3932,3995,3546,5434,4826,4624,4896,1595,1574,1620,1620,1768,1498
H40_HBsAg_Time_Point_0_CD4 T cells.fcs,4002,4065,3647,5317,4843,4584,4931,1543,1533,1557,1709,1914,1505
H41_NC_Time_Point_0_CD4 T cells.fcs,2747,2857,2552,4408,3306,3278,3330,1539,1457,1606,1641,1727,1440
H41_HBsAg_Time_Point_0_CD4 T cells.fcs,3034,3176,2847,4852,3590,3584,3596,1526,1471,1578,1645,1771,1430
H42_NC_Time_Point_0_CD4 T cells.fcs,2627,2689,2429,3071,2786,2737,2796,1450,1393,1495,1724,1838,1606
H42_HBsAg_Time_Point_0_CD4 T cells.fcs,3232,3324,2991,3870,3324,3336,3324,1680,1638,1720,1914,1976,1834
H02_NC_Time_Point_60_CD4 T cells.fcs,2939,3082,3077,3099,3946,3744,4009,1539,1578,1464,1823,1808,1864
H02_HBsAg_Time_Point_60_CD4 T cells.fcs,3176,3336,3336,3330,4203,3960,4308,1522,1564,1447,1838,1797,1976
H03_NC_Time_Point_60_CD4 T cells.fcs,2703,2806,2570,3571,3272,3088,3347,1641,1581,1684,1782,1797,1760
H03_HBsAg_Time_Point_60_CD4 T cells.fcs,2732,2842,2617,3552,3266,3109,3336,1609,1578,1631,1816,1823,1812
H04_NC_Time_Point_60_CD4 T cells.fcs,3226,3412,2723,3905,3353,3153,3400,1304,1363,1288,1512,1581,1420
H04_HBsAg_Time_Point_60_CD4 T cells.fcs,3400,3609,2928,4072,3503,3359,3546,1327,1417,1304,1519,1539,1491
H06_NC_Time_Point_60_CD4 T cells.fcs,3289,3448,3131,3939,3559,3615,3540,1680,1713,1666,1819,1980,1677
H06_HBsAg_Time_Point_60_CD4 T cells.fcs,3679,3837,3454,4416,3960,4009,3946,1727,1801,1688,1976,2023,1914
H07_NC_Time_Point_60_CD4 T cells.fcs,3534,3666,3278,4256,3939,3770,3974,1655,1652,1659,1782,1797,1757
H07_HBsAg_Time_Point_60_CD4 T cells.fcs,4009,4152,3679,4800,4519,4263,4584,1746,1764,1731,1980,1991,1968
H08_NC_Time_Point_60_CD4 T cells.fcs,3365,3497,3221,4551,3905,3837,3939,1659,1698,1623,1775,1876,1680
H08_HBsAg_Time_Point_60_CD4 T cells.fcs,3448,3590,3266,4674,4331,4094,4432,1620,1673,1585,1948,1995,1842
H10_NC_Time_Point_60_CD4 T cells.fcs,3454,3552,3479,4108,4072,4072,4072,1645,1634,1652,1805,1819,1735
H10_HBsAg_Time_Point_60_CD4 T cells.fcs,3491,3584,3509,4116,4331,4233,4377,1529,1546,1512,1812,1834,1768
H11_NC_Time_Point_60_CD4 T cells.fcs,3137,3278,3115,3584,3383,3528,3336,1652,1706,1623,1842,1937,1727
H11_HBsAg_Time_Point_60_CD4 T cells.fcs,3243,3394,3243,3705,3528,3565,3515,1592,1641,1564,1838,1861,1805
H13_NC_Time_Point_60_CD4 T cells.fcs,3877,3974,3764,4733,4649,4479,4749,1797,1857,1738,2007,2074,1929
H13_HBsAg_Time_Point_60_CD4 T cells.fcs,4044,4145,3905,4984,4922,4682,5047,1709,1790,1620,2011,2042,1925
H14_NC_Time_Point_60_CD4 T cells.fcs,3232,3301,3198,4575,4471,4181,4724,1983,1910,2046,2074,2039,2234
H14_HBsAg_Time_Point_60_CD4 T cells.fcs,3055,3115,3012,4316,4263,3939,4551,1849,1757,1948,2027,2099,1808
H17_NC_Time_Point_60_CD4 T cells.fcs,3870,4072,4016,4354,4211,4424,4101,1808,1819,1771,2023,2062,1880
H17_HBsAg_Time_Point_60_CD4 T cells.fcs,3891,4094,4016,4455,4293,4416,4218,1760,1793,1695,1991,2031,1834
H18_NC_Time_Point_60_CD4 T cells.fcs,3131,3209,2949,4559,4324,3660,4691,1684,1764,1623,2003,2007,1987
H18_HBsAg_Time_Point_60_CD4 T cells.fcs,3324,3406,3131,4913,4616,3953,5029,1631,1764,1539,2023,1929,2172
H19_NC_Time_Point_60_CD4 T cells.fcs,3336,3528,3012,4362,4108,3750,4218,1790,1816,1768,2147,2095,2205
H19_HBsAg_Time_Point_60_CD4 T cells.fcs,3609,3817,3289,4608,4584,4181,4691,1684,1724,1659,2015,1987,2058
H20_NC_Time_Point_60_CD4 T cells.fcs,3018,3088,2791,4324,3830,3485,4016,1713,1634,1793,2007,1914,2168
H20_HBsAg_Time_Point_60_CD4 T cells.fcs,3324,3394,3018,4904,4641,3981,4948,1655,1631,1680,2015,1968,2090
H21_NC_Time_Point_60_CD4 T cells.fcs,3757,3843,3371,4741,4301,4226,4324,1731,1742,1717,1995,1933,2123
H21_HBsAg_Time_Point_60_CD4 T cells.fcs,4393,4495,4044,5232,5148,4984,5204,1731,1786,1673,2119,2127,2066
H22_NC_Time_Point_60_CD4 T cells.fcs,1291,1340,1288,1834,1749,1808,1713,259,271,251,291,411,274
H22_HBsAg_Time_Point_60_CD4 T cells.fcs,1567,1616,1550,2156,2151,2407,2035,288,308,254,334,487,254
H23_NC_Time_Point_60_CD4 T cells.fcs,4016,4174,3925,5175,4716,4316,4852,1805,1887,1724,2035,2003,2103
H23_PC_Time_Point_60_CD4 T cells.fcs,2119,2251,2243,2268,2285,2302,2281,1444,1471,1400,1502,1434,1564
H23_HBsAg_Time_Point_60_CD4 T cells.fcs,4487,4666,4416,5635,5270,4724,5454,1731,1846,1588,2046,2027,2070
